Mon-Yr,Median Price,Median Time on Market,Unsold Inventory
Mar-97,157992,52.5,8.4
Apr-97,159912,47.8,7.2
May-97,156131,47.9,7.0
Jun-97,173522,47.5,6.4
Jul-97,176878,48.0,6.1
Aug-97,181888,48.9,5.9
Sep-97,192235,46.8,6.0
Oct-97,178860,39.3,5.6
Nov-97,167707,49.7,6.8
Dec-97,180722,45.3,5.2
Jan-98,176261,50.1,6.9
Feb-98,169043,50.9,8.2
Mar-98,167343,41.9,5.4
Apr-98,171035,36.9,4.8
May-98,167067,34.2,4.3
Jun-98,194120,34.1,4.4
Jul-98,200749,34.9,4.7
Aug-98,200735,31.9,5.4
Sep-98,210536,37.4,5.4
Oct-98,187040,39.4,5.7
Nov-98,181937,39.1,6.3
Dec-98,192491,40.0,4.6
Jan-99,185547,47.7,7.2
Feb-99,184903,47.0,8.2
Mar-99,181409,39.6,4.8
Apr-99,189528,52.1,5.0
May-99,184558,33.5,5.5
Jun-99,204441,34.6,4.6
Jul-99,206165,28.4,4.6
Aug-99,205611,28.3,5.1
Sep-99,220873,29.9,3.4
Oct-99,191884,34.7,4.7
Nov-99,188348,35.1,3.2
Dec-99,197781,39.5,3.9
Jan-00,200055,47.8,6.2
Feb-00,194814,38.3,6.3
Mar-00,190354,29.9,3.8
Apr-00,197372,28.7,4.1
May-00,184576,28.6,4.0
Jun-00,218166,27.5,4.1
Jul-00,224681,27.6,4.7
Aug-00,233351,27.5,4.2
Sep-00,245860,27.6,4.4
Oct-00,216145,29.7,4.5
Nov-00,213119,29.8,4.1
Dec-00,221340,34.5,3.6
Jan-01,213796,35.4,5.6
Feb-01,213684,35.2,5.5
Mar-01,216504,27.0,3.7
Apr-01,213628,26.4,4.0
May-01,212274,26.0,3.0
Jun-01,244664,25.1,3.2
Jul-01,252020,25.4,3.3
Aug-01,254947,25.5,3.0
Sep-01,276206,26.1,3.9
Oct-01,244995,27.1,3.9
Nov-01,239008,27.8,3.9
Dec-01,255191,28.1,3.0
Jan-02,258972,29.7,3.4
Feb-02,251811,32.4,3.1
Mar-02,253609,26.5,2.1
Apr-02,260195,24.4,2.0
May-02,251712,23.1,2.0
Jun-02,286326,22.2,2.2
Jul-02,291245,22.3,2.5
Aug-02,304918,22.6,2.6
Sep-02,325418,22.5,3.2
Oct-02,294631,24.3,2.8
Nov-02,288319,25.5,2.9
Dec-02,307489,25.1,2.3
Jan-03,302861,26.6,3.2
Feb-03,291928,27.6,3.2
Mar-03,290523,25.1,2.2
Apr-03,305047,25.1,1.9
May-03,300669,24.1,1.8
Jun-03,340955,23.5,1.9
Jul-03,364344,22.7,1.7
Aug-03,377989,22.7,1.8
Sep-03,406301,21.8,1.9
Oct-03,359477,22.4,1.8
Nov-03,352761,23.4,1.8
Dec-03,378200,23.4,1.2
Jan-04,381935,23.9,1.7
Feb-04,371042,24.1,1.6
Mar-04,371789,21.2,1.3
Apr-04,391502,21.1,1.6
May-04,391691,20.2,2.3
Jun-04,446725,20.2,2.7
Jul-04,460110,21.1,3.8
Aug-04,457166,22.8,3.9
Sep-04,495561,25.0,3.9
Oct-04,445781,27.3,3.6
Nov-04,436452,29.5,3.2
Dec-04,459461,31.4,2.4
Jan-05,469028,36.2,3.0
Feb-05,450086,28.5,2.9
Mar-05,443496,25.6,2.0
Apr-05,451503,22.9,2.1
May-05,447789,21.9,2.2
Jun-05,515669,21.8,2.4
Jul-05,541717,21.9,2.9
Aug-05,561791,23.1,2.9
Sep-05,608623,24.3,2.9
Oct-05,532586,26.0,3.3
Nov-05,524509,28.7,3.5
Dec-05,534443,35.4,3.1
Jan-06,556046,41.4,5.0
Feb-06,537774,40.7,7.6
Mar-06,521676,37.9,5.3
Apr-06,526407,36.1,6.1
May-06,503127,37.7,6.4
Jun-06,558069,39.4,6.3
Jul-06,576557,43.4,8.2
Aug-06,582953,46.1,7.7
Sep-06,625043,48.8,8.5
Oct-06,562802,51.7,9.6
Nov-06,556528,53.6,9.4
Dec-06,585447,56.7,8.8
Jan-07,555713,63.1,11.0
Feb-07,534759,61.1,12.3
Mar-07,552287,51.6,11.2
Apr-07,563330,47.1,14.3
May-07,544858,44.7,14.1
Jun-07,591741,46.0,11.4
Jul-07,610196,49.5,13.6
Aug-07,618652,52.3,14.1
Sep-07,625812,54.1,19.7
Oct-07,518300,57.6,19.2
Nov-07,483778,62.3,17.8
Dec-07,505577,64.1,16.3
Jan-08,464335,68.0,19.2
Feb-08,442892,68.8,19.5
Mar-08,396024,58.4,14.9
Apr-08,397050,53.9,12.0
May-08,368059,51.7,9.9
Jun-08,386403,47.0,9.3
Jul-08,386128,47.7,7.6
Aug-08,381736,47.2,7.8
Sep-08,385269,48.4,7.3
Oct-08,336764,45.3,6.3
Nov-08,314305,42.2,7.4
Dec-08,318075,46.2,5.6
Jan-09,285798,49.1,7.1
Feb-09,267830,51.4,7.1
Mar-09,255665,49.2,5.5
Apr-09,252776,44.8,4.8
May-09,248851,41.6,4.4
Jun-09,286657,37.3,3.9
Jul-09,298719,32.3,3.6
Aug-09,310957,29.2,4.1
Sep-09,345597,28.5,3.9
Oct-09,308280,28.3,3.7
Nov-09,315397,27.6,4.2
Dec-09,332267,28.7,3.5
Jan-10,316698,27.9,5.5
Feb-10,283299,36.1,5.8
Mar-10,290000,34.7,4.6
Apr-10,289710,33.6,4.6
May-10,297410,37.1,4.3
Jun-10,310871,40.4,4.6
Jul-10,331420,43.4,5.7
Aug-10,336420,45.1,5.8
Sep-10,355900,46.8,6.0
Oct-10,333970,51.4,6.4
Nov-10,302450,53.3,6.7
Dec-10,328140,56.3,5.3
Jan-11,305570,59.1,6.6
Feb-11,286100,62.1,7.8
Mar-11,282170,56.5,5.5
Apr-11,290600,53.7,5.8
May-11,271540,51.9,6.0
Jun-11,301300,52.7,5.4
Jul-11,317060,54.6,5.8
Aug-11,312900,54.2,5.5
Sep-11,330610,57.1,5.5
Oct-11,307970,56.4,5.7
Nov-11,291260,59.0,5.6
Dec-11,306950,62.3,4.7
Jan-12,290900,64.0,6.1
Feb-12,272690,59.5,5.7
Mar-12,272920,55.6,4.3
Apr-12,286800,53.0,4.4
May-12,282930,51.0,3.6
Jun-12,315390,46.6,3.4
Jul-12,334190,47.5,3.4
Aug-12,344770,44.6,3.0
Sep-12,373020,42.8,3.7
Oct-12,364810,40.3,3.0
Nov-12,337080,40.4,2.9
Dec-12,367400,40.2,2.4
Jan-13,349720,38.6,3.0
Feb-13,337630,36.5,3.3
Mar-13,340890,31.5,2.7
Apr-13,361630,29.2,2.6
May-13,365990,27.9,2.5
Jun-13,403760,28.8,2.8
Jul-13,421350,28.7,2.9
Aug-13,444950,31.1,2.9
Sep-13,459010,33.0,3.4
Oct-13,447130,35.7,3.2
Nov-13,405470,38.5,3.5
Dec-13,439830,41.0,3.0
Jan-14,423570,46.6,4.0
Feb-14,389080,43.6,4.6
Mar-14,395660,39.0,3.9
Apr-14,406750,39.5,3.5
May-14,411640,38.7,3.6
Jun-14,435950,39.7,3.8
Jul-14,461290,39.8,3.8
Aug-14,474640,43.0,4.0
Sep-14,486030,45.1,4.2
Oct-14,477600,45.5,3.9
Nov-14,434070,47.8,4.4
Dec-14,464650,50.9,3.4
Jan-15,441610,54.8,4.9
Feb-15,419260,51.1,5.2
Mar-15,419370,45.0,3.8
Apr-15,427010,41.9,3.5
May-15,432570,40.1,3.6
Jun-15,473290,39.9,3.4
Jul-15,490360,41.2,3.4
Aug-15,492360,41.3,3.7
Sep-15,517750,42.3,3.6
Oct-15,509570,45.8,3.7
Nov-15,457870,47.4,4.5
Dec-15,502750,48.4,2.8
Jan-16,480950,51.2,4.3
Feb-16,444410,49.8,4.9
Mar-16,441700,43.2,3.6
Apr-16,457180,39.8,3.5
May-16,467290,40.5,3.6
Jun-16,502190,38.8,3.2
Jul-16,513700,38.4,3.6
Aug-16,520400,40.0,3.3
Sep-16,550705,34.0,3.4
Oct-16,536760,34.0,3.5
Nov-16,487060,33.0,3.3
Dec-16,522520,34.0,2.6
Jan-17,509130,40.8,3.6
Feb-17,470200,38.0,4.1
Mar-17,465810,30.0,4.1
Apr-17,480230,22.0,3.4
May-17,492040,16.0,3.0
Jun-17,548220,16.0,2.7
Jul-17,566240,17.0,3.3
Aug-17,570720,18.0,2.8
Sep-17,606110,19.0,3.1
Oct-17,580360,21.0,2.9
Nov-17,530920,22.0,2.9
Dec-17,577690,24.0,2.4
Jan-18,564100,25.0,3.6
Feb-18,527280,22.0,4.1
Mar-18,528980,17.0,3.0
Apr-18,528540,17.0,3.2
May-18,536940,15.0,3.1
Jun-18,586090,17.0,2.6
Jul-18,597520,18.0,3.5
Aug-18,607490,19.0,3.4
Sep-18,634680,21.0,4.4
Oct-18,614500,25.0,3.7
Nov-18,553940,27.0,3.9
Dec-18,588140,31.0,3.5
Jan-19,566010,36.0,4.9
Feb-19,541390,35.0,5.1
Mar-19,525520,25.0,3.8
Apr-19,544170,24.0,3.5
May-19,539480,21.0,3.3
Jun-19,599680,19.0,3.4
Jul-19,611230,21.0,3.2
Aug-19,627690,20.5,3.1
Sep-19,663110,21.0,3.5
Oct-19,647900,22.0,3.0
Nov-19,594840,22.0,2.9
Dec-19,641340,24.0,2.4
Jan-20,617520,26.0,3.2
Feb-20,580690,22.0,3.6
Mar-20,567910,15.0,2.6
Apr-20,565170,12.0,3.3
May-20,553710,16.0,4.3
Jun-20,619320,17.0,3.0
Jul-20,660340,14.0,2.3
Aug-20,692630,12.0,2.3
Sep-20,766010,9.0,2.3
Oct-20,745080,9.0,2.1
Nov-20,673310,9.0,2.1
Dec-20,660000,10.0,1.5
Jan-21,697660,11.0,1.8
Feb-21,664120,10.0,2.4
Mar-21,689440,8.0,1.8
Apr-21,718440,7.0,1.8
May-21,725680,8.0,2.0
Jun-21,796120,8.0,1.8
Jul-21,809750,8.0,2.0
Aug-21,830070,9.0,2.0
Sep-21,886050,10.0,2.0
Oct-21,848970,10.0,2.0
Nov-21,769500,11.0,1.4
Dec-21,826500,12.0,1.3
Jan-22,800960,13.0,2.0
Feb-22,773490,10.0,2.2
Mar-22,781050,8.0,1.8
Apr-22,801680,13.0,1.9
May-22,798720,13.0,2.3
Jun-22,860230,15.0,2.5
Jul-22,846320,17.0,3.3
Aug-22,854960,22.0,3.1
Sep-22,891770,27.0,3.1
Oct-22,854560,26.0,3.6
Nov-22,836630,29.0,3.6
Dec-22,799670,31.0,3.1
Jan-23,778540,37.0,3.7
Feb-23,726870,37.0,3.4
Mar-23,718370,26.0,2.2
Apr-23,738520,22.0,2.6
May-23,744770,19.0,2.2
Jun-23,832310,17.0,2.1
Jul-23,851540,17.0,2.5
Aug-23,882010,18.0,2.4
Sep-23,914640,19.0,2.7
Oct-23,893650,21.0,2.8
Nov-23,897990,20.0,2.9
Dec-23,853340,23.0,2.6
